player_name,season,games_missed,teams,injury_notes,player_id
(William) Tony Parker,2014-15,3,Spurs,bruised ribs (DTD) | strained left hamstring (DTD) | strained hamstring (DTD),2225
(William) Tony Parker,2015-16,3,Spurs,right hip injury (DTD) | left ankle injury (DTD) | bruised left toe (DTD),2225
(William) Tony Parker,2016-17,6,Spurs,sore right knee (DTD) | sore left foot (DTD) | stiffness in back (DTD),2225
(William) Tony Parker,2017-18,2,Spurs,sprained right ankle (DTD) | tightness in back (DTD),2225
(William) Tony Parker,2018-19,1,Hornets,rib injury (DTD),2225
Aaron Brooks,2015-16,2,Bulls,strained left hamstring (DTD),201166
Aaron Brooks,2016-17,2,Pacers,sore knee (DTD),201166
Aaron Gordon,2014-15,1,Magic,fractured left foot (DTD),203932
Aaron Gordon,2015-16,2,Magic,ankle injury (DTD) | concussion (DTD),203932
Aaron Gordon,2016-17,1,Magic,bone bruise in right foot (DTD),203932
Aaron Gordon,2017-18,5,Magic,concussion (DTD) | strained right calf (DTD) | strained left hip flexor (DTD),203932
Aaron Gordon,2018-19,1,Magic,sore lower back (DTD),203932
Abdel Nader,2018-19,1,Thunder,illness (DTD),1627846
Adreian Payne,2016-17,1,Timberwolves,thrombocytopenia (blood disorder) (DTD),203940
Al Harrington,2013-14,1,Wizards,sore right knee (DTD),1733
Al Horford,2013-14,2,Hawks,torn right pectoral muscle (out for season) | surgery to repair torn pectoral muscle (out for season),201143
Al Horford,2014-15,2,Hawks,illness (DTD) | family reasons (DTD),201143
Al Horford,2016-17,1,Celtics,groin injury (DTD),201143
Al Horford,2017-18,3,Celtics,sore left calf / knee injury (DTD) | concussion (DTD) | ankle injury (DTD),201143
Al Horford,2018-19,3,Celtics,sore left knee (DTD),201143
Al Jefferson,2014-15,2,Hornets,strained adductor muscle in left groin (out indefinitely) | sore right knee (out for season),2744
Al Jefferson,2015-16,3,Hornets,strained left calf (out indefinitely) | torn lateral meniscus in right knee (out indefinitely) | surgery on right knee to repair torn lateral meniscus (out indefinitely),2744
Al Jefferson,2016-17,2,Pacers,sprained left ankle (DTD) | sprained left ankle (out for season),2744
Al-Farouq Aminu,2016-17,2,Blazers,back injury (DTD) | sprained left knee (DTD),202329
Alan Anderson,2014-15,2,Nets,bruised lower back (DTD) | sprained left ankle (DTD),101187
Alan Anderson,2015-16,2,Wizards,surgery on left ankle to remove bone fragment (DTD) | sore groin (DTD) (Y),101187
Alan Anderson,2016-17,1,Clippers,ankle injury (DTD),101187
Alan Williams,2016-17,1,Suns,gastroenteritis (DTD),1626210
Alan Williams,2017-18,1,Suns,sore right knee (out for season),1626210
Alan Williams,2018-19,1,Nets,ankle injury (DTD),1626210
Alec Burks,2014-15,1,Jazz,surgery on left shoulder (out for season),202692
Alec Burks,2015-16,4,Jazz,fractured fibula in left leg (out indefinitely) | surgery on left leg to repair fractured fibula (date approximate) | sore right knee (out for season),202692
Alec Burks,2016-17,2,Jazz,sore leg (DTD) | arthrosopic surgery on left ankle (out indefinitely),202692
Alec Burks,2018-19,1,Jazz,left hand injury (DTD),202692
Alex Abrines,2016-17,1,Thunder,bruised right hip (DTD),203518
Alex Abrines,2017-18,1,Thunder,concussion (DTD),203518
Alex Abrines,2018-19,2,Thunder,illness (DTD),203518
Alex Caruso,2018-19,1,Lakers,strained right hip (DTD),1627936
Alex Len,2014-15,6,Suns,fractured right pinky finger (out indefinitely) | sprained right ankle (out indefinitely) | sprained right ankle (DTD),203458
Alex Len,2015-16,2,Suns,sprained left hand (DTD) | sprained right ankle (DTD),203458
Alex Len,2016-17,3,Suns,bruised right hip (DTD) | hip injury (DTD),203458
Alex Len,2017-18,3,Suns,ankle injury (DTD) | sore right ankle (DTD) | sprained left ankle (DTD),203458
Alex Len,2018-19,2,Hawks,sore back (DTD) | strained back (DTD),203458
Alex Poythress,2018-19,1,Hawks,left knee injury (DTD),1627816
Alexey Shved,2014-15,4,"76ers, Knicks, Rockets",sore lower back (DTD) | strained left hip flexor (DTD) | sprained left ankle (DTD),203144
Alexis Ajinca / Alex Ajinca,2015-16,4,Pelicans,strained right hamstring (out indefinitely) | calf injury (DTD) | fractured sternum (DTD),201582
Alexis Ajinca / Alex Ajinca,2016-17,2,Pelicans,strained left shoulder (DTD) | hip injury (DTD),201582
Alexis Ajinca / Alex Ajinca,2017-18,2,Pelicans,surgery on right knee (out indefinitely) | surgery on left knee (out for season),201582
Alfonzo McKinnie,2018-19,1,Warriors,sore left foot (DTD),1628035
Alize Johnson,2018-19,2,Pacers,bruised left foot (DTD) | sore left foot (DTD),1628993
Allen Crabbe,2014-15,1,Blazers,strained left knee (DTD),203459
Allen Crabbe,2015-16,1,Blazers,illness (DTD),203459
Allen Crabbe,2016-17,1,Blazers,sore left foot (DTD),203459
Allen Crabbe,2017-18,2,Nets,sore lower back (DTD) | sore left ankle / knee (DTD),203459
Allen Crabbe,2018-19,3,Nets,sprained left ankle (DTD) | sore right knee (out for season) | surgery on right knee (out for season),203459
Allonzo Trier,2018-19,1,Knicks,strained left hamstring (DTD),1629019
Alonzo Gee,2014-15,1,Blazers,oral surgery (DTD),202087
Alonzo Gee,2015-16,1,Pelicans,torn right quadricep (out for season),202087
Amare Stoudemire / Amar'e Stoudemire,2014-15,1,Knicks,sore right knee (DTD),2405
Amare Stoudemire / Amar'e Stoudemire,2015-16,1,Heat,illness (DTD) (Y),2405
Amir Johnson,2014-15,1,Raptors,sprained right ankle (DTD),101161
Amir Johnson,2016-17,2,Celtics,sprained left ankle (DTD) | sprained right shoulder (out for season),101161
Amir Johnson,2017-18,2,76ers,gasroenteritis (DTD) | illness (DTD),101161
Amir Johnson,2018-19,2,76ers,migraine headache (DTD) | back injury (DTD),101161
Anderson Varejao,2014-15,1,Cavaliers,surgery to repair torn left Achilles tendon (out for season),2760
Andre Drummond,2017-18,2,Pistons,bruised right rib (DTD),203083
Andre Iguodala,2015-16,2,Warriors,sore/tight left hamstring (DTD) | sprained left ankle (DTD),2738
Andre Iguodala,2016-17,1,Warriors,sore left knee (DTD),2738
Andre Iguodala,2017-18,2,Warriors,sore left knee (DTD) | bruised left leg (DTD),2738
Andre Iguodala,2018-19,1,Warriors,right hip injury (DTD),2738
Andre Roberson,2014-15,2,Thunder,sprained left foot (DTD) | sprained left ankle (DTD),203460
Andre Roberson,2015-16,1,Thunder,sprained right knee (DTD),203460
Andre Roberson,2016-17,1,Thunder,sore left knee (DTD),203460
Andre Roberson,2017-18,2,Thunder,torn patellar tendon in left knee (out for season) | surgery on left knee to repair torn patellar tendon (out for season),203460
Andrea Bargnani,2013-14,1,Knicks,torn ligament in left elbow (out for season),200745
Andrea Bargnani,2014-15,2,Knicks,sore/strained right calf (DTD) | illness (out for season),200745
Andrea Bargnani,2015-16,2,Nets,sore hamstring | sore right ankle (DTD),200745
Andrew Bogut,2014-15,1,Warriors,flu (DTD),101106
Andrew Bogut,2015-16,6,Warriors,concussion (DTD) | back spasms (DTD) | strained right Achilles (DTD),101106
Andrew Bogut,2016-17,5,"Cavaliers, Mavericks",sore right calf (DTD) | bone bruise in right knee (DTD) | strained right hamstring (DTD),101106
Andrew Bogut,2017-18,1,Lakers,tightness in back (DTD),101106
Andrew Bogut,2018-19,1,Warriors,visa issues (DTD),101106
Andrew Harrison,2017-18,4,Grizzlies,left shoulder injury (DTD) | right wrist injury (DTD) | right wrist injury (out for season),1626150
Andrew Wiggins,2015-16,1,Timberwolves,sore right knee (DTD),203952
Andrew Wiggins,2018-19,1,Timberwolves,bruised left quadricep (DTD),203952
Andris Biedrins,2013-14,2,Jazz,sprained left ankle (out indefinitely) | flu (DTD),2740
Anfernee Simons,2018-19,1,Blazers,illness (DTD),1629014
Ante Zizic,2018-19,3,Cavaliers,left knee injury (DTD) | sore right knee (DTD) | concussion (DTD),1627790
Anthony Bennett,2013-14,4,Cavaliers,illness (DTD) | sprained left ankle / right knee injury | strained left knee (out indefinitely),203461
Anthony Bennett,2014-15,3,Timberwolves,bruised knee (DTD) | sprained right ankle (DTD),203461
Anthony Bennett,2015-16,2,Raptors,sore lower back (DTD) | back injury (DTD),203461
Anthony Brown,2015-16,1,Lakers,stress reaction in right foot (out for season),1626148
Anthony Davis,2013-14,1,Pelicans,fractured left hand (out indefinitely),203076
Anthony Davis,2014-15,6,Pelicans,chest injury (DTD) | sprained left toe (DTD) | strained left groin (DTD),203076
Anthony Davis,2015-16,7,Pelicans,strained right hip (DTD) | shoulder injury (DTD) | bruised back (DTD),203076
Anthony Davis,2016-17,3,Pelicans,sprained ankle (DTD) | bruised right quadriceps (DTD) | sore left knee (out for season),203076
Anthony Davis,2017-18,5,Pelicans,left knee tendinitis (DTD) | strained adductor in left groin/pelvis (DTD) | sprained right ankle (DTD),203076
Anthony Davis,2018-19,7,Pelicans,sprained right elbow (DTD) | strained right hip (DTD) | illness (DTD),203076
Anthony Morrow,2014-15,1,Thunder,sprained MCL in left knee (DTD),201627
Anthony Toliver,2015-16,1,Pistons,placed on IL with birth of daughter,201229
Anthony Tolliver,2015-16,1,Pistons,sprained MCL in right knee (DTD),201229
Anthony Tolliver,2016-17,2,Kings,sprained right knee (DTD) | strained right hip / lower back (DTD),201229
Antonio Blakeney,2017-18,1,Bulls,fractured left wrist (out for season),1628469
Antonius Cleveland,2017-18,1,Hawks,left ankle injury (DTD),1628499
Archie Goodwin,2015-16,1,Suns,sprained left ankle (DTD),203462
Aron Baynes,2014-15,2,Spurs,neck spasms (DTD) | rib injury (DTD),203382
Aron Baynes,2015-16,2,Pistons,surgery to repair fractured nose (did not miss any games) | back spasms (DTD),203382
Aron Baynes,2016-17,3,Pistons,tightness in lower back (DTD) | surgery to repair fractured nose (DTD) | sprained left ankle (DTD),203382
Aron Baynes,2018-19,5,Celtics,strained right hamstring (DTD) | sprained left ankle (DTD) | fractured left hand (out indefinitely),203382
Arron Afflalo,2014-15,1,Blazers,strained right shoulder (out for season),201167
Arron Afflalo,2015-16,3,Knicks,strained left hamstring (DTD) | knee injury (DTD) | strained right abdominal muscle (DTD),201167
Arron Afflalo,2016-17,3,Kings,illness (DTD) | sore left hamstring (DTD) | strained lower back / hip (DTD),201167
Arron Afflalo,2017-18,1,Magic,back spasms (DTD),201167
Austin Rivers,2014-15,1,Clippers,left ankle injury / sore left foot (DTD),203085
Austin Rivers,2015-16,3,Clippers,sprained right ankle (DTD) | fractured left hand (DTD),203085
