player_id,player_name,team_id,team_abbreviation,gp,w,l,min,min1,dist_feet,dist_miles,dist_miles_off,dist_miles_def,avg_speed,avg_speed_off,avg_speed_def,season
201985,AJ Price,1610612750,MIN,28,15,13,3.5,3.5,1350.5,0.3,0.1,0.1,4.37,4.62,3.96,2013-14
201166,Aaron Brooks,1610612743,DEN,72,42,30,21.6,21.6,8027.7,1.5,0.8,0.8,4.23,4.49,3.99,2013-14
201189,Aaron Gray,1610612758,SAC,36,11,25,9.7,9.7,3586.7,0.7,0.4,0.3,4.23,4.49,3.91,2013-14
203519,Adonis Thomas,1610612755,PHI,6,2,4,6.3,6.3,2536.5,0.5,0.2,0.2,4.64,5.21,4.16,2013-14
1733,Al Harrington,1610612764,WAS,33,20,13,15.0,15.0,5261.4,1.0,0.5,0.5,4.0,4.19,3.8,2013-14
201143,Al Horford,1610612737,ATL,29,16,13,33.0,33.0,11807.1,2.2,1.2,1.1,4.08,4.43,3.78,2013-14
2744,Al Jefferson,1610612766,CHA,72,37,35,35.0,35.0,11694.4,2.2,1.2,1.0,3.81,3.92,3.68,2013-14
202329,Al-Farouq Aminu,1610612740,NOP,80,33,47,25.6,25.6,9930.3,1.9,1.0,0.9,4.43,4.75,4.1,2013-14
101187,Alan Anderson,1610612751,BKN,77,42,35,22.7,22.7,8032.8,1.5,0.8,0.7,4.04,4.1,3.99,2013-14
202692,Alec Burks,1610612762,UTA,78,24,54,28.1,28.1,10595.5,2.0,1.1,0.9,4.3,4.5,4.09,2013-14
203458,Alex Len,1610612756,PHX,42,24,18,8.6,8.6,3293.2,0.6,0.3,0.3,4.35,4.62,4.07,2013-14
203144,Alexey Shved,1610612750,MIN,63,28,35,10.5,10.5,4029.6,0.8,0.4,0.4,4.35,4.63,4.07,2013-14
201582,Alexis Ajinca,1610612740,NOP,56,22,34,17.0,17.0,6357.1,1.2,0.7,0.5,4.26,4.53,3.99,2013-14
203459,Allen Crabbe,1610612757,POR,15,12,3,6.7,6.7,2464.0,0.5,0.3,0.2,4.21,4.46,3.94,2013-14
202087,Alonzo Gee,1610612739,CLE,65,29,36,15.7,15.7,6271.1,1.2,0.6,0.6,4.56,4.82,4.31,2013-14
2405,Amar'e Stoudemire,1610612752,NYK,65,26,39,22.6,22.6,7721.2,1.5,0.8,0.7,3.9,3.92,3.88,2013-14
101161,Amir Johnson,1610612761,TOR,76,42,34,28.7,28.7,10357.0,2.0,1.0,0.9,4.11,4.23,3.98,2013-14
2760,Anderson Varejao,1610612739,CLE,65,25,40,27.7,27.7,10750.5,2.0,1.1,1.0,4.41,4.63,4.19,2013-14
101154,Andray Blatche,1610612751,BKN,72,39,33,22.1,22.1,7588.0,1.4,0.8,0.7,3.94,4.07,3.79,2013-14
203083,Andre Drummond,1610612765,DET,81,29,52,32.3,32.3,11736.5,2.2,1.2,1.1,4.14,4.29,3.98,2013-14
2738,Andre Iguodala,1610612744,GSW,63,41,22,32.4,32.4,11850.2,2.2,1.1,1.1,4.2,4.54,3.89,2013-14
1889,Andre Miller,1610612764,WAS,57,32,25,17.0,17.0,5736.0,1.1,0.6,0.5,3.86,4.18,3.54,2013-14
203460,Andre Roberson,1610612760,OKC,40,30,10,10.0,10.0,4057.4,0.8,0.4,0.4,4.64,4.74,4.54,2013-14
200745,Andrea Bargnani,1610612752,NYK,42,15,27,29.9,29.9,9993.7,1.9,1.0,0.9,3.81,3.88,3.73,2013-14
1905,Andrei Kirilenko,1610612751,BKN,44,29,15,19.0,19.0,7194.0,1.4,0.7,0.6,4.34,4.54,4.12,2013-14
101106,Andrew Bogut,1610612744,GSW,66,39,27,26.4,26.4,9083.0,1.7,0.9,0.8,3.93,4.33,3.56,2013-14
101115,Andrew Bynum,1610612754,IND,26,11,15,19.8,19.8,6405.0,1.2,0.6,0.6,3.72,3.78,3.64,2013-14
203094,Andrew Nicholson,1610612753,ORL,76,19,57,15.4,15.4,5673.8,1.1,0.6,0.5,4.19,4.41,3.97,2013-14
2740,Andris Biedrins,1610612762,UTA,6,0,6,7.4,7.4,2711.2,0.5,0.3,0.2,4.17,4.71,3.66,2013-14
1712,Antawn Jamison,1610612746,LAC,22,15,7,11.3,11.3,4397.7,0.8,0.4,0.4,4.45,4.93,4.01,2013-14
203461,Anthony Bennett,1610612739,CLE,52,20,32,12.7,12.7,4841.3,0.9,0.5,0.4,4.33,4.78,3.91,2013-14
203076,Anthony Davis,1610612740,NOP,67,29,38,35.2,35.2,12768.2,2.4,1.3,1.1,4.13,4.36,3.91,2013-14
201627,Anthony Morrow,1610612740,NOP,76,32,44,18.8,18.8,6840.3,1.3,0.7,0.6,4.15,4.36,3.93,2013-14
201576,Anthony Randolph,1610612743,DEN,43,15,28,12.3,12.3,4542.3,0.9,0.5,0.4,4.22,4.63,3.85,2013-14
201229,Anthony Tolliver,1610612766,CHA,63,32,31,20.3,20.3,7669.4,1.5,0.8,0.6,4.3,4.61,3.96,2013-14
203462,Archie Goodwin,1610612756,PHX,52,32,20,10.2,10.2,4011.3,0.8,0.4,0.4,4.45,4.72,4.19,2013-14
202620,Arinze Onuaku,1610612739,CLE,5,2,3,6.0,6.0,2240.6,0.4,0.2,0.2,4.18,4.72,3.72,2013-14
203102,Arnett Moultrie,1610612755,PHI,12,0,12,15.6,15.6,5985.2,1.1,0.6,0.5,4.36,4.83,3.95,2013-14
